upload_date,Customer Name,Customer ID,Brokerage/Asset,Opportunity Name,Go-Live Date,Expiration Date,Award Type,Lane ID (From Bid),orig_city,orig_state,orig_zip,orig region,orig country,orig loading type,dest city,dest state,dest zip,dest region,dest country,dest unloading type,Multi_Stop,Customer Provided Miles,Equipment TYpe,Mode Type,Lane_Type,hazmat,tanker endorsement,Temp Requirements,Volume provided by customer,Volume time frame provided by customer,Truck cost,All in Customer,Awarded Linehaul,Awarded LH RPM
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,1,NORTH BRUNSWICK,NJ,,,USA,LIVE,BALTIMORE,MD,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$820.00 ,$921.35 ,$815.54 ,5.24
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,2,BALTIMORE,MD,,,USA,LIVE,LEXINGTON,KY,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,299.27 ","$1,443.63 ","$1,080.04 ",2.02
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,3,BALTIMORE,MD,,,USA,LIVE,GODDARD,KS,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$2,825.00 ","$3,210.23 ","$2,347.44 ",1.85
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,4,BALTIMORE,MD,,,USA,LIVE,LEBANON,IN,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,480.60 ","$1,645.11 ","$1,234.18 ",2.04
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,5,ELIZABETH,NJ,,,USA,LIVE,LAKEWOOD,NJ,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$622.75 ,$778.44 ,$749.27 ,17.47
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,SECONDARY,6,NORTH CHARLESTON,SC,,,USA,LIVE,MAXTON,NC,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,29,,$805.00 ,$958.33 ,$841.37 ,4.89
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,7,ELIZABETH,NJ,,,USA,LIVE,NEW YORK,NY,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$838.81 ,$998.58 ,$979.95 ,35.76
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,8,ELIZABETH,NJ,,,USA,LIVE,CARSON,CA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$5,088.72 ","$5,986.73 ","$4,088.51 ",1.46
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,9,NORTH CHARLESTON,SC,,,USA,LIVE,PARIS,TX,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$2,320.00 ","$2,729.41 ","$2,005.69 ",1.88
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,10,ELIZABETH,NJ,,,USA,LIVE,BURLINGTON,NJ,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$526.75 ,$605.46 ,$565.21 ,9.55
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,11,BALTIMORE,MD,,,USA,LIVE,BLUFFTON,IN,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,202.24 ","$1,335.82 ",$968.01 ,1.79
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,12,BALTIMORE,MD,,,USA,LIVE,CLEVELAND,TN,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,499.85 ","$1,666.50 ","$1,254.15 ",2.07
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,13,BALTIMORE,MD,,,USA,LIVE,MEMPHIS,TN,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,929.20 ","$2,143.56 ","$1,521.36 ",1.66
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,SECONDARY,14,NORTH CHARLESTON,SC,,,USA,LIVE,LUMBERTON,NC,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,15,,$810.00 ,$964.29 ,$846.24 ,4.87
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,15,ELIZABETH,NJ,,,USA,LIVE,CARSON,CA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$5,088.72 ","$5,986.73 ","$4,088.51 ",1.46
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,16,ELIZABETH,NJ,,,USA,LIVE,BRONX,NY,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$843.90 ,"$1,004.64 ",$982.68 ,30.42
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,17,ELIZABETH,NJ,,,USA,LIVE,POTTSVILLE,PA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$632.65 ,$710.84 ,$623.74 ,4.87
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,18,ELIZABETH,NJ,,,USA,LIVE,LEWISTON,ME,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,373.51 ","$1,526.13 ","$1,279.76 ",3.53
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,19,ELIZABETH,NJ,,,USA,LIVE,HENDERSON,NC,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,120.14 ","$1,258.58 ",$960.47 ,2.19
